sample_index,original_orientation,orientation,time_ms,calibrated_z_g,ideal_z_g,signed_error_g
105,+X,-Y,61473,-0.010839411,0.0,-0.010839411
106,+X,-Y,61552,-0.014775112,0.0,-0.014775112
107,+X,-Y,61633,-0.011823336,0.0,-0.011823336
108,+X,-Y,61712,-0.007887636,0.0,-0.007887636
109,+X,-Y,61792,-0.006903711,0.0,-0.006903711
110,+X,-Y,61872,-0.010839411,0.0,-0.010839411
111,+X,-Y,61952,-0.010839411,0.0,-0.010839411
112,+X,-Y,62033,-0.007887636,0.0,-0.007887636
113,+X,-Y,62112,-0.007887636,0.0,-0.007887636
114,+X,-Y,62193,-0.007887636,0.0,-0.007887636
115,+X,-Y,62272,-0.011823336,0.0,-0.011823336
116,+X,-Y,62353,-0.007887636,0.0,-0.007887636
117,+X,-Y,62432,-0.007887636,0.0,-0.007887636
118,+X,-Y,62513,0.000967690,0.0,0.000967690
119,+X,-Y,62592,-0.013791186,0.0,-0.013791186
120,+X,-Y,62672,-0.007887636,0.0,-0.007887636
121,+X,-Y,62753,-0.009855486,0.0,-0.009855486
122,+X,-Y,62832,-0.010839411,0.0,-0.010839411
123,+X,-Y,62913,-0.010839411,0.0,-0.010839411
124,+X,-Y,62992,-0.000016235,0.0,-0.000016235
125,+X,-Y,63073,-0.000016235,0.0,-0.000016235
126,+X,-Y,63152,-0.002968010,0.0,-0.002968010
127,+X,-Y,63233,-0.006903711,0.0,-0.006903711
128,+X,-Y,63312,-0.015759037,0.0,-0.015759037
129,+X,-Y,63392,-0.014775112,0.0,-0.014775112
130,+X,-Y,63472,-0.010839411,0.0,-0.010839411
131,+X,-Y,63552,0.000967690,0.0,0.000967690
132,+X,-Y,63633,-0.007887636,0.0,-0.007887636
133,+X,-Y,63712,-0.006903711,0.0,-0.006903711
134,+X,-Y,63793,-0.014775112,0.0,-0.014775112
135,+X,-Y,63872,-0.005919786,0.0,-0.005919786
136,+X,-Y,63953,0.000967690,0.0,0.000967690
137,+X,-Y,64032,0.000967690,0.0,0.000967690
138,+X,-Y,64112,-0.003951935,0.0,-0.003951935
139,+X,-Y,64192,-0.014775112,0.0,-0.014775112
140,+X,-Y,64272,-0.010839411,0.0,-0.010839411
141,+X,-Y,64353,-0.003951935,0.0,-0.003951935
142,+X,-Y,64432,-0.006903711,0.0,-0.006903711
143,+X,-Y,64513,-0.007887636,0.0,-0.007887636
144,+X,-Y,64592,-0.007887636,0.0,-0.007887636
145,+X,-Y,64673,-0.007887636,0.0,-0.007887636
146,+X,-Y,64752,-0.000016235,0.0,-0.000016235
147,+X,-Y,64832,-0.007887636,0.0,-0.007887636
148,+X,-Y,64913,-0.006903711,0.0,-0.006903711
149,+X,-Y,64992,-0.006903711,0.0,-0.006903711
150,+X,-Y,65073,-0.013791186,0.0,-0.013791186
151,+X,-Y,65152,-0.008871561,0.0,-0.008871561
152,+X,-Y,65233,-0.015759037,0.0,-0.015759037
153,+X,-Y,65312,-0.002968010,0.0,-0.002968010
154,+X,-Y,65393,-0.015759037,0.0,-0.015759037
155,+X,-Y,65472,-0.014775112,0.0,-0.014775112
156,+X,-Y,65552,-0.007887636,0.0,-0.007887636
157,+X,-Y,65633,-0.006903711,0.0,-0.006903711
158,+X,-Y,65712,-0.007887636,0.0,-0.007887636
159,+X,-Y,65793,-0.010839411,0.0,-0.010839411
160,+X,-Y,65872,-0.014775112,0.0,-0.014775112
161,+X,-Y,65953,-0.014775112,0.0,-0.014775112
