axis,positive_mean_g,negative_mean_g,offset_g,scale,active_pose_raw_mae_g,active_pose_corrected_mae_g
X,0.947323,-1.06426,-0.05846849999999998,0.9942418483353658,0.05846850000000003,0.002547899838087728
Y,1.018394,-1.123418,-0.052512,0.9337887732443371,0.07090600000000001,0.00287260880039891
Z,1.3113540000000001,-0.721321,0.29501650000000007,0.9839251232981169,0.2950165,0.0025686339429569723
